Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition
2005061386287,3-Jun-05,4/29/2005 0:00,SLC,Salt Lake City International Airport,Frontier Airlines,Property Damage,Checked Baggage,DVD/CD Players,350.00 ,Denied,0.00 ,Deny
2005061386289,3-Jun-05,4/7/2005 0:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,930.00 ,Denied,0.00 ,Deny
2005061386291,3-Jun-05,4/25/2005 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),400.00 ,Denied,0.00 ,Deny
2005061386294,3-Jun-05,3/30/2005 0:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,70.66 ,Denied,0.00 ,Deny
2005061386296,3-Jun-05,5/14/2005 0:00,PHX,Phoenix Sky Harbor International,American Airlines,Passenger Property Loss,Checked Baggage,Other,48.77 ,Denied,0.00 ,Deny
2005061386298,3-Jun-05,4/30/2005 0:00,LGA,LaGuardia,Delta Air Lines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,1000.00 ,Denied,0.00 ,Deny
2005061386299,3-Jun-05,5/28/2005 0:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,134.00 ,Denied,0.00 ,Deny
2005061386302,3-Jun-05,4/8/2005 0:00,ORF,Norfolk International,Delta Air Lines,Passenger Property Loss,Checked Baggage,DVD/CD Players,161.76 ,Denied,0.00 ,Deny
2005061386303,3-Jun-05,5/22/2005 0:00,IND,Indianapolis International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,270.00 ,Denied,0.00 ,Deny
2005061386307,3-Jun-05,3/6/2005 0:00,DFW,Dallas-Fort Worth International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),64.65 ,Denied,0.00 ,Deny
2005061386313,3-Jun-05,5/21/2005 0:00,SAV,Savannah International,UAL,Property Damage,Checked Baggage,Other,385.00 ,Denied,0.00 ,Deny
2005061386319,3-Jun-05,5/21/2005 0:00,DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,40.00 ,Denied,0.00 ,Deny
2005061386343,3-Jun-05,5/14/2005 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checkpoint,Luggage (all types including footlockers),22.00 ,Denied,0.00 ,Deny
2005061486367,3-Jun-05,4/28/2005 0:00,LAX,Los Angeles International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,8510.00 ,Denied,0.00 ,Deny
2005061586410,3-Jun-05,3/6/2005 0:00,MSY,New Orleans International,American Airlines,Passenger Property Loss,Checked Baggage,Other,125.00 ,Denied,0.00 ,Deny
2005061586415,3-Jun-05,5/3/2005 0:00,EWR,Newark International Airport,USAir,Passenger Property Loss,Checked Baggage,Currency,100.00 ,Denied,0.00 ,Deny
2005061586420,3-Jun-05,4/18/2005 0:00,ORF,Norfolk International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,125.00 ,Denied,0.00 ,Deny
2005061586424,3-Jun-05,2/26/2005 0:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),350.00 ,Denied,0.00 ,Deny
2005061586436,3-Jun-05,5/20/2005 0:00,GSP,Greenville-Spartanburg,USAir,Passenger Property Loss,Checked Baggage,Cameras - Digital,430.99 ,Denied,0.00 ,Deny
2005061786516,3-Jun-05,4/27/2005 0:00,ATW,Outagamie County,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),125.00 ,Denied,0.00 ,Deny
2005062086604,3-Jun-05,4/6/2005 0:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),151.00 ,Denied,0.00 ,Deny
2005062086612,3-Jun-05,5/21/2005 0:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,2873.00 ,Denied,0.00 ,Deny
2005062086615,3-Jun-05,5/17/2005 0:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Cameras - Digital,349.00 ,Denied,0.00 ,Deny
2005062086616,3-Jun-05,5/7/2005 0:00,MSP,Minneapolis/ St.Paul International Airport,American Airlines,Property Damage,Checked Baggage,Other,100.00 ,Denied,0.00 ,Deny
2005062086617,3-Jun-05,5/11/2005 0:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,500.00 ,Denied,0.00 ,Deny
2005062086621,3-Jun-05,5/21/2005 0:00,SJC,Norman Y Mineta San Jose International,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,595.38 ,Denied,0.00 ,Deny
2005062086622,3-Jun-05,5/7/2005 0:00,DTW,Detroit Metropolitan Wayne County Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,339.98 ,Denied,0.00 ,Deny
2005062086627,3-Jun-05,5/25/2005 0:00,RDM,Roberts Field,UAL,Passenger Property Loss,Checked Baggage,Cell Phones,80.00 ,Denied,0.00 ,Deny
2005062086629,3-Jun-05,5/20/2005 0:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),345.95 ,Denied,0.00 ,Deny
2005062086630,3-Jun-05,5/27/2005 0:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,350.00 ,Denied,0.00 ,Deny
2005062086636,3-Jun-05,3/3/2005 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,4000.00 ,Denied,0.00 ,Deny
2005062086637,3-Jun-05,5/22/2005 0:00,PNS,Pensacola Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Musical Instruments - Other - Over $250,24.95 ,Denied,0.00 ,Deny
2005062086639,3-Jun-05,5/11/2005 0:00,HNL,Honolulu International Airport,Civil Aviation - Non-Commercial Carrier,Passenger Property Loss,Checked Baggage,Other,221.91 ,Denied,0.00 ,Deny
2005062086644,3-Jun-05,1/5/2005 0:00,PSP,Palm Springs International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),500.00 ,Denied,0.00 ,Deny
2005062086656,3-Jun-05,2/25/2005 0:00,PHX,Phoenix Sky Harbor International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.00 ,Denied,0.00 ,Deny
2005062086663,3-Jun-05,5/14/2005 0:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,510.00 ,Denied,0.00 ,Deny
2005062086673,3-Jun-05,5/11/2005 0:00,EUG,Eugene Airport/Mahlon Sweet Field,Skywest Airlines Inc USA,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),25.00 ,Denied,0.00 ,Deny
2005062086678,3-Jun-05,4/11/2005 0:00,IAH,Houston - George Bush Intercontinental Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Stereo Items & Accessories,474.99 ,Denied,0.00 ,Deny
2005062086685,3-Jun-05,5/9/2005 0:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Stereo Items & Accessories,771.00 ,Denied,0.00 ,Deny
2005061086251,3-Jun-05,4/1/2005 0:00,PBI,Palm Beach International,Delta Air Lines,Employee Loss (MPCECA),Checked Baggage,Cameras - Digital,353.74 ,Settled,147.96 ,Settle
2005061086280,3-Jun-05,5/25/2005 0:00,ORD,Chicago O'Hare International Airport,Lufthansa,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,173.00 ,Settled,121.10 ,Settle
2005061086281,3-Jun-05,5/24/2005 0:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,78.74 ,Settled,25.13 ,Settle
2005061386297,3-Jun-05,4/4/2005 0:00,LAS,McCarran International,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,200.00 ,Settled,100.00 ,Settle
2005061386311,3-Jun-05,3/9/2005 0:00,MSY,New Orleans International,Delta Air Lines,Property Damage,Checkpoint,Luggage (all types including footlockers),199.95 ,Settled,160.00 ,Settle
2005061386333,3-Jun-05,2/28/2005 0:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),249.95 ,Settled,60.00 ,Settle
2005061386340,3-Jun-05,10/11/2003 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),85.00 ,Settled,50.00 ,Settle
2005061386345,3-Jun-05,4/9/2005 0:00,SAN,San Diego International,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,509.98 ,Settled,387.32 ,Settle
2005061386346,3-Jun-05,5/19/2005 0:00,IAH,Houston - George Bush Intercontinental Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,3100.00 ,Settled,1650.00 ,Settle
2005062086607,3-Jun-05,3/31/2005 0:00,SEA,Seattle-Tacoma International,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,309.23 ,Settled,208.83 ,Settle
2005062086619,3-Jun-05,5/10/2005 0:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Other,64.95 ,Settled,32.48 ,Settle
2005062086623,3-Jun-05,5/21/2005 0:00,MCO,Orlando International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,207.62 ,Settled,96.21 ,Settle
2005062086633,3-Jun-05,4/7/2005 0:00,SEA,Seattle-Tacoma International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,129.47 ,Settled,64.74 ,Settle
2005062086635,3-Jun-05,5/11/2005 0:00,LAX,Los Angeles International Airport,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,535.91 ,Settled,185.97 ,Settle
2005062086638,3-Jun-05,5/12/2005 0:00,MSP,Minneapolis/ St.Paul International Airport,America West,Passenger Property Loss,Checked Baggage,Jewelry - Fine,618.00 ,Settled,309.00 ,Settle
2005061486374,6-Jun-05,5/7/2005 0:00,ORD,Chicago O'Hare International Airport,Tran Meridian Airlines,Passenger Property Loss,Checked Baggage,Locks,12.70 ,Approved,12.70 ,Approve in Full
2005061486376,6-Jun-05,5/14/2005 0:00,LAX,Los Angeles International Airport,Qantus Airways,Passenger Property Loss,Checked Baggage,Locks,15.00 ,Approved,15.00 ,Approve in Full
2005061486386,6-Jun-05,4/26/2005 0:00,KOA,Kona International,American Airlines,Passenger Property Loss,Checked Baggage,Other,40.00 ,Approved,40.00 ,Approve in Full
2005061486390,6-Jun-05,5/24/2005 0:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,8.65 ,Approved,8.65 ,Approve in Full
2005061486394,6-Jun-05,4/27/2005 0:00,STT,Cyril E. King International,USAir,Passenger Property Loss,Checked Baggage,Locks,7.76 ,Approved,7.76 ,Approve in Full
2005061586402,6-Jun-05,5/7/2005 0:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,50.00 ,Approved,50.00 ,Approve in Full
2005061586414,6-Jun-05,3/27/2005 0:00,OAK,Metropolitan Oakland International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,147.24 ,Approved,147.24 ,Approve in Full
2005061586430,6-Jun-05,5/17/2005 0:00,ATW,Outagamie County,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),39.99 ,Approved,39.99 ,Approve in Full
2005061586433,6-Jun-05,5/10/2005 0:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,85.00 ,Approved,85.00 ,Approve in Full
2005061586439,6-Jun-05,5/26/2005 0:00,KTN,Ketchikan International,Alaska Airlines,Property Damage,Checkpoint,Other,28.69 ,Approved,28.69 ,Approve in Full
2005061586454,6-Jun-05,5/20/2005 0:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines,Passenger Property Loss,Checkpoint,Medicines,260.46 ,Approved,260.46 ,Approve in Full
2005061686476,6-Jun-05,3/18/2005 0:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,41.14 ,Approved,41.14 ,Approve in Full
2005060685871,6-Jun-05,2/16/2005 0:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,850.00 ,Denied,0.00 ,Deny
2005061486373,6-Jun-05,5/24/2005 0:00,MSY,New Orleans International,AirTran Airlines,Property Damage,Checked Baggage,Other,149.00 ,Denied,0.00 ,Deny
2005061486377,6-Jun-05,3/1/2005 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,171.00 ,Denied,0.00 ,Deny
2005061486379,6-Jun-05,5/26/2005 0:00,LGA,LaGuardia,Spirit Airlines,Property Damage,Checked Baggage,Other,375.95 ,Denied,0.00 ,Deny
2005061486381,6-Jun-05,5/22/2005 0:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),20.00 ,Denied,0.00 ,Deny
2005061486382,6-Jun-05,4/17/2004 0:00,TLH,Tallahassee Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),400.00 ,Denied,0.00 ,Deny
2005061486384,6-Jun-05,5/28/2005 0:00,SBA,Santa Barbara Municipal,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,300.00 ,Denied,0.00 ,Deny
2005061486391,6-Jun-05,12/15/2003 0:00,SEA,Seattle-Tacoma International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),30.00 ,Denied,0.00 ,Deny
2005061486392,6-Jun-05,5/12/2005 0:00,MSP,Minneapolis/ St.Paul International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,245.00 ,Denied,0.00 ,Deny
2005061486393,6-Jun-05,12/30/2004 0:00,LGA,LaGuardia,USAir,Property Damage,Checked Baggage,Cameras - Digital,200.00 ,Denied,0.00 ,Deny
2005061486395,6-Jun-05,5/19/2005 0:00,MCO,Orlando International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,544.95 ,Denied,0.00 ,Deny
2005061486396,6-Jun-05,5/14/2005 0:00,LAS,McCarran International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),148.39 ,Denied,0.00 ,Deny
2005061486397,6-Jun-05,5/15/2005 0:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital,1415.00 ,Denied,0.00 ,Deny
2005061586399,6-Jun-05,6/4/2005 0:00,OAK,Metropolitan Oakland International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital,400.00 ,Denied,0.00 ,Deny
2005061586401,6-Jun-05,4/22/2005 0:00,ORF,Norfolk International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1500.00 ,Denied,0.00 ,Deny
2005061586408,6-Jun-05,11/4/2004 0:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checked Baggage,Other,115.00 ,Denied,0.00 ,Deny
2005061586417,6-Jun-05,5/22/2005 0:00,LAS,McCarran International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),246.52 ,Denied,0.00 ,Deny
2005061586425,6-Jun-05,5/23/2005 0:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,49.95 ,Denied,0.00 ,Deny
2005061586427,6-Jun-05,4/29/2005 0:00,ALB,Albany International,American Airlines,Passenger Property Loss,Checked Baggage,Other,100.35 ,Denied,0.00 ,Deny
2005061586434,6-Jun-05,4/28/2005 0:00,PHL,Philadelphia International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,66.00 ,Denied,0.00 ,Deny
2005061586438,6-Jun-05,3/30/2005 0:00,CLT,Charlotte/Douglas International Airport,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,370.61 ,Denied,0.00 ,Deny
2005061586443,6-Jun-05,5/21/2005 0:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Currency,50.00 ,Denied,0.00 ,Deny
2005061586444,6-Jun-05,5/22/2005 0:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,2600.00 ,Denied,0.00 ,Deny
2005061586459,6-Jun-05,5/29/2005 0:00,F,Foreign airport,America West,Property Damage,Checked Baggage,Other,61.00 ,Denied,0.00 ,Deny
2005061586461,6-Jun-05,5/23/2005 0:00,MSY,New Orleans International,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,979.70 ,Denied,0.00 ,Deny
2005061686475,6-Jun-05,5/23/2005 0:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,270.00 ,Denied,0.00 ,Deny
2005061686477,6-Jun-05,4/17/2005 0:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,200.00 ,Denied,0.00 ,Deny
2005062086581,6-Jun-05,10/6/2003 0:00,IAD,Washington Dulles International,Jet Blue,Property Damage,Checked Baggage,Luggage (all types including footlockers),280.00 ,Denied,0.00 ,Deny
2005062086584,6-Jun-05,5/8/2005 0:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Locks,585.00 ,Denied,0.00 ,Deny
2005062086591,6-Jun-05,4/3/2005 0:00,CRP,Corpus Christi International,Southwest Airlines,Passenger Property Loss,Checkpoint,Currency,180.00 ,Denied,0.00 ,Deny
2005062086593,6-Jun-05,4/22/2005 0:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,311.97 ,Denied,0.00 ,Deny
2005062086596,6-Jun-05,12/5/2004 0:00,PVD,TF Green Airport; Providence,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,3500.00 ,Denied,0.00 ,Deny
2005062186713,6-Jun-05,4/10/2005 0:00,MDT,Harrisburg International,USAir,Passenger Property Loss,Checked Baggage,Locks,32.41 ,Denied,0.00 ,Deny
2005061486378,6-Jun-05,5/21/2005 0:00,BDL,Bradley International Airport,USAir,Property Damage,Checkpoint,Luggage (all types including footlockers),249.00 ,Settled,50.00 ,Settle
2005061486380,6-Jun-05,2/25/2005 0:00,PIT,Pittsburgh International Airport,Northwest Airlines,Property Damage,Checked Baggage,Cameras - Digital,275.00 ,Settled,170.40 ,Settle
2005061486385,6-Jun-05,5/28/2005 0:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Cameras - Digital,399.99 ,Settled,224.02 ,Settle
2005061486388,6-Jun-05,5/19/2005 0:00,IND,Indianapolis International,Delta Air Lines,Property Damage,Checked Baggage,Computer - Laptop,2000.00 ,Settled,749.00 ,Settle
2005061486389,6-Jun-05,5/23/2005 0:00,PHX,Phoenix Sky Harbor International,Delta Air Lines,Property Damage,Checked Baggage,Other,260.00 ,Settled,200.00 ,Settle
2005061586403,6-Jun-05,5/28/2005 0:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checkpoint,Cell Phones,291.59 ,Settled,250.28 ,Settle
2005061586412,6-Jun-05,4/4/2005 0:00,BUF,Buffalo Niagara International,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Medicines,244.15 ,Settled,74.64 ,Settle
2005061586431,6-Jun-05,3/24/2005 0:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,75.76 ,Settled,37.88 ,Settle
2005061586432,6-Jun-05,4/28/2005 0:00,LGA,LaGuardia,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,385.00 ,Settled,192.50 ,Settle
2005061686468,6-Jun-05,5/20/2005 0:00,IAH,Houston - George Bush Intercontinental Airport,Continental Express Inc,Passenger Property Loss,Checked Baggage,Other,6420.00 ,Settled,2800.00 ,Settle
2005061686490,6-Jun-05,5/27/2005 0:00,DFW,Dallas-Fort Worth International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,716.93 ,Settled,533.03 ,Settle
2005062086594,6-Jun-05,3/31/2005 0:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,1124.94 ,Settled,691.34 ,Settle
2005061686470,7-Jun-05,3/3/2005 0:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checkpoint,Jewelry - Fine,130.00 ,Approved,130.00 ,Approve in Full
2005061686478,7-Jun-05,3/28/2005 0:00,RNO,Reno/Tahoe International,Aloha Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.00 ,Approved,200.00 ,Approve in Full
2005061686483,7-Jun-05,5/8/2005 0:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,85.00 ,Approved,85.00 ,Approve in Full
2005061686486,7-Jun-05,3/19/2005 0:00,MKE,General Mitchell International Airport,UAL,Property Damage,Checkpoint,Cameras - Digital,114.54 ,Approved,114.54 ,Approve in Full
2005061686491,7-Jun-05,5/29/2005 0:00,SUN,Friedman Memorial,Horizon Air,Passenger Property Loss,Checked Baggage,Cameras - Digital,284.97 ,Approved,284.97 ,Approve in Full
2005061686501,7-Jun-05,5/25/2005 0:00,LIT,Little Rock National,Southwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,325.00 ,Approved,325.00 ,Approve in Full
2005061686507,7-Jun-05,5/15/2005 0:00,SAT,San Antonio International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,7.39 ,Approved,7.39 ,Approve in Full
2005061786517,7-Jun-05,2/4/2005 0:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),28.00 ,Approved,28.00 ,Approve in Full
2005061786519,7-Jun-05,5/21/2005 0:00,DEN,Denver International Airport,Lufthansa,Passenger Property Loss,Checked Baggage,Other,75.00 ,Approved,75.00 ,Approve in Full
2005061786523,7-Jun-05,5/29/2005 0:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,45.00 ,Approved,45.00 ,Approve in Full
2005061786525,7-Jun-05,6/2/2005 0:00,PKB,Mid Ohio Valley Regional,USAir,Passenger Property Loss,Checked Baggage,Other,23.71 ,Approved,23.71 ,Approve in Full
2005061786527,7-Jun-05,1/7/2005 0:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Currency,120.00 ,Approved,120.00 ,Approve in Full
2005061786530,7-Jun-05,5/26/2005 0:00,SAT,San Antonio International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),29.23 ,Approved,29.23 ,Approve in Full
2005061786532,7-Jun-05,5/27/2005 0:00,ANC,Ted Stevens Anchorage International Airport,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Locks,10.42 ,Approved,10.42 ,Approve in Full
2005061786534,7-Jun-05,4/25/2005 0:00,BOS,Boston (Logan) International Airport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,50.00 ,Approved,50.00 ,Approve in Full
2005061786536,7-Jun-05,4/20/2005 0:00,MLI,Quad City (Moline)International Airport,Northwest Airlines,Property Damage,Checkpoint,Other,59.99 ,Approved,59.99 ,Approve in Full
2005061786543,7-Jun-05,5/23/2005 0:00,MLI,Quad City (Moline)International Airport,UAL,Property Damage,Checked Baggage,Locks,16.12 ,Approved,16.12 ,Approve in Full
2005061786545,7-Jun-05,5/27/2005 0:00,MAF,Midland International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,125.00 ,Approved,125.00 ,Approve in Full
2005061786546,7-Jun-05,5/5/2005 0:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Cameras - Digital,400.00 ,Approved,400.00 ,Approve in Full
2005061786547,7-Jun-05,5/31/2005 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,13.94 ,Approved,13.94 ,Approve in Full
2005061786550,7-Jun-05,5/6/2005 0:00,LAS,McCarran International,American Airlines,Property Damage,Checked Baggage,Other,3.23 ,Approved,3.23 ,Approve in Full
2005061786563,7-Jun-05,4/8/2005 0:00,ORD,Chicago O'Hare International Airport,Spirit Airlines,Property Damage,Checked Baggage,Other,167.00 ,Approved,167.00 ,Approve in Full
2005061786574,7-Jun-05,12/26/2004 0:00,JAN,Jackson International,Southwest Airlines,Property Damage,Checkpoint,Other,22.00 ,Approved,22.00 ,Approve in Full
2005061786577,7-Jun-05,4/6/2005 0:00,BUR,Bob Hope,America West,Property Damage,Checked Baggage,Jewelry - Fine,40.00 ,Approved,40.00 ,Approve in Full
2005062086578,7-Jun-05,4/20/2005 0:00,TPA,Tampa International,Air Canada,Passenger Property Loss,Checked Baggage,Other,5.33 ,Approved,5.33 ,Approve in Full
2005062086582,7-Jun-05,5/31/2005 0:00,BOI,Boise Air Terminal/Gowen Field,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,120.00 ,Approved,120.00 ,Approve in Full
2005062086585,7-Jun-05,5/20/2005 0:00,ORD,Chicago O'Hare International Airport,American Eagle,Passenger Property Loss,Checked Baggage,Currency,150.00 ,Approved,150.00 ,Approve in Full
2005062086587,7-Jun-05,5/18/2005 0:00,PHL,Philadelphia International Airport,Air France,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),10.00 ,Approved,10.00 ,Approve in Full
2005062086592,7-Jun-05,5/30/2005 0:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,100.70 ,Approved,100.70 ,Approve in Full
2005062086597,7-Jun-05,5/4/2005 0:00,PIT,Pittsburgh International Airport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,28.88 ,Approved,28.88 ,Approve in Full
2005062086640,7-Jun-05,5/1/2005 0:00,GSP,Greenville-Spartanburg,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,65.00 ,Approved,65.00 ,Approve in Full
2005062086649,7-Jun-05,5/14/2005 0:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checkpoint,DVD/CD Players,59.99 ,Approved,59.99 ,Approve in Full
2005062086650,7-Jun-05,5/26/2005 0:00,PHX,Phoenix Sky Harbor International,American Airlines,Passenger Property Loss,Checked Baggage,Other,35.00 ,Approved,35.00 ,Approve in Full
2005062086654,7-Jun-05,3/30/2005 0:00,STT,Cyril E. King International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,26.64 ,Approved,26.64 ,Approve in Full
2005062086657,7-Jun-05,5/29/2005 0:00,SBN,South Bend Regional,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,133.30 ,Approved,133.30 ,Approve in Full
